id,question,question_en,topic_id,origin_id,submission_id,created_at
1,Apa kesan pertamamu tentang aku?,What was your first impression of me?,1,1,,
2,Coba nilai aku hanya dari isi media sosialku,Try to judge me based on my social media contents,1,1,,
3,"Kalau manusia bisa memiliki kekuatan super, apa kekuatan super yang mau kamu miliki?","If humans could have superpowers, what superpowers would you like to have?",1,1,,
4,"Lagu apa yang baru kamu dengar bagian intronya saja, sudah membuat kamu merasa sedih?",What song intro that would make you feel instanty sad?,3,1,,
5,Apa hal terbaik yang terjadi pada dirimu satu tahun ke belakang?,What's the best thing that happened to you in the past year?,1,1,,
6,"Jika kamu bisa, apakah kamu ingin mengubah cara kamu dibesarkan oleh keluargamu?","If you could, would you like to change the way you were raised by your family?",1,1,,
7,"Menurutmu, apa hal yang bisa kamu ubah untuk menyelamatkan hubunganmu yang terakhir?",What do you think you could change to save your last relationship?,1,1,,
8,Apa sifat burukmu yang tidak bisa kamu ubah? Bagaimana sifat itu memengaruhi hubunganmu?,What do you think is your bad personality trait? How does it affect your relationship?,1,1,,
9,"Kalau kamu bisa memilih untuk tinggal di mana saja, ke mana kamu akan pergi?","If you could choose any place to live, where would you go?",1,1,,
10,"Kalau kamu diberi kesempatan untuk melakukan perjalanan waktu, kamu memilih untuk pergi ke masa lalu atau masa depan?","If you were given the opportunity to time travel, would you choose to go to the past or the future?",1,1,,
11,"Jika kamu bertemu dengan dirimu 10 tahun yang lalu, apa yang kamu katakan padanya?","If you meet yourself from 10 years ago, what would you say to them?",1,1,,
12,Apa kebohongan terakhirmu dan kepada siapa kamu berbohong?,What was your last lie and who did you lie to?,1,1,,
13,Apa hal yang paling kamu syukuri di dalam hidupmu saat ini?,What are the things that you are most grateful for in your life right now?,1,1,,
14,"Jika hidupmu diadaptasi menjadi film, kira-kira apa plot twist dalam ceritamu?","If your life is adapted into a movie, what would be the plot twist?",1,1,,
15,Apakah kamu pernah terpikir kira-kira bagaimana cara kamu akan meninggalkan dunia ini?,Have you ever thought about how would you leave this world?,1,1,,
16,Apakah menurutmu kita memiliki banyak kecocokan? Seperti apa misalnya?,Do you think we have a lot in common? Name one example.,1,1,,
17,"Apa hal yang sejak dulu ingin kamu lakukan, tapi sampai sekarang tidak pernah terjadi?","What are the things that you have always wanted to do, but have never happened?",1,1,,
18,"Lebih penting mana, menjadi orang jujur atau menjadi orang baik?","Which one is more important, being an honest person or being a good person?",1,1,,
19,Bagaimana cara kamu berdamai dengan hal paling buruk yang pernah terjadi dalam hidupmu?,How can you come to terms with the worst thing that has ever happened in your life?,1,1,,
20,"Dalam hal memilih pasangan hidup, apa karakteristik seseorang yang paling tidak bisa kamu toleransi?","When it comes to choosing a life partner, what are the characteristics you can't tolerate the most?",1,1,,
21,Ceritakan ringkasan kehidupanmu dalam waktu tiga menit.,Tell me a summary of your life in three minutes.,1,1,,
22,Apakah ada hal yang kamu sesali di dalam hidupmu?,Is there anything you regret in your life?,1,1,,
23,"Kalau kita harus kehilangan salah satu dari lima panca indra, indra apa yang mampu kamu relakan?","If we have to lose one of the five senses, which one can you afford to lose?",1,1,,
24,Sebutkan tiga alasan mengapa menurutmu kamu akan menjadi pasangan yang baik,Name three reasons why do you think you would be a good life partner,1,1,,
25,Ceritakan padaku satu waktu di mana kamu mengecewakan seseorang,Tell me about a time where you let someone down,1,1,,
26,Sebutkan hal yang menurutmu menarik dariku secara fisik,Name something you find physically attractive in me,1,1,,
27,Apa hal yang paling aneh yang pernah kamu cari di Google Search?,What's the weirdest thing you've ever searched on Google Search?,1,1,,
28,"Kalau 10 detik dari sekarang tiba-tiba ada serangan zombie, seberapa besar kemungkinan kita akan selamat? Bagaimana caranya?","If there's a zombie apocalypse 10 seconds from this moment, how likely are we going to survive? Tell me how.",1,1,,
29,"Kalau kamu bisa menghabiskan waktu satu hari dengan siapapun, dengan siapa dan apa kegiatan yang akan kamu lakukan?","If you could spend one day with anyone, with whom do you want to spend it with and what activities would you do?",1,1,,
30,"Deskripsikan momen di mana kamu merasa paling ""hidup"".","Describe a moment where you felt most ""alive""",1,1,,
31,"Apa hal yang pernah menjadi rutinitasmu, tapi sekarang tidak pernah kamu lakukan lagi?","What are the things that used to be your routine, but you don't do it anymore now?",1,1,,
32,"Kalau harus mendeskripsikan dirimu sebagai hewan, hewan apakah kamu?","If you had to describe yourself as an animal, what kind of animal are you?",1,1,,
33,Mana yang kamu pilih: penampilan atau kecerdasan? Mengapa Demikian?,Which one do you choose: looks or intelligence?,1,1,,
34,Ceritakan padaku tentang cinta pertamamu.,Tell me about your first love.,2,1,,
35,Apa kenangan paling berkesan dari masa kecilmu?,What are the most memorable memories from your childhood?,1,1,,
36,Mana yang lebih mendeskripsikan dirimu: pemimpi atau realis?,Which describes you more: a dreamer or a realist?,1,1,,
37,"Apa hal yang sebenarnya kamu sukai, tapi kamu malu untuk mengakuinya?","What are the things that you really like, but too embarrassed to admit?",1,1,,
38,"Kegiatan apa yang terlintas di benakmu saat mendengar kata ""buang waktu""?","What kind of activites popped into your mind when you hear the word ""wasting time""?",1,1,,
39,"Kalau kamu terjebak di sebuah pulau, siapa yang kamu inginkan ada di sana bersama kamu?","If you were trapped in an island, who would you want to be there with?",1,1,,
40,Bagaimana teman-temanmu mendeskripsikan dirimu?,How do your friends describe you?,1,1,,
41,Apakah kamu pernah melakukan sesuatu hanya untuk terlihat keren? Hal apakah itu?,Have you ever done anything just to look cool? What did you do?,1,1,,
42,Deskripsikan hubunganmu yang terakhir dengan sebuah judul film.,Describe your last relationship with a movie title,1,1,,
43,"Sebutkan tiga hal yang menurut orang lain mungkin biasa saja, tapi menurutmu itu menyebalkan","Name three things that you find annoying, but most people think they are very normal.",1,1,,
44,Apa hal terakhir yang kamu bicarakan dengan mantan kekasihmu?,What's the last thing you talked about with your ex?,1,1,,
45,"Menurutmu, apakah aku terlihat ""high maintenance""?","Do you think I look ""high maintenance""?",1,1,,
46,Orang yang tidak mengenalku dengan baik selalu berasumsi bahwa aku __________.,People who don't know me well always assume that I __________.,1,1,,
47,"Menurutku, cinta adalah __________.","In my opinion, love is __________.",2,1,,
48,"Kalau kamu hanya punya waktu hidup satu tahun lagi, apakah kamu akan mengubah cara kamu hidup sekarang?","If you only have one year left to live, would you change the way you live now?",1,1,,
49,Apa hal yang paling kamu takuti di dunia ini?,What is the thing that you fear the most in this world?,1,1,,
50,Apa topik pembicaraan yang akan membuat kamu bersemangat saat membahasnya?,What are the things that'd make you feel excited to talk about?,1,1,,
51,Apa hal yang tidak akan pernah bisa kamu kompromikan ketika menjalin hubungan?,What are the things that you can never compromise in a relationship?,1,1,,
52,Apa hal yang paling bandel yang pernah kamu lakukan di masa kecilmu?,What's the naughtiest thing you've ever done in your childhood?,1,1,,
53,Apa hal yang paling konyol yang pernah kamu lakukan saat jatuh cinta?,What's the silliest thing you've ever done when you fell in love?,1,1,,
54,Siapakah tokoh fiksi yang ingin kamu temui di dunia nyata?,Which fictional character would you like to meet in real life?,1,1,,
55,Apa hal paling tidak penting yang pernah kamu beli secara online?,What's the least important thing you've ever brought online?,1,1,,
56,"Jika kamu diberi pilihan untuk hidup selamanya, apakah kamu mau? Dengan kondisi seperti apa?","If you were given the choice to live forever, would you want to? And under what conditions?",1,1,,
57,Apakah ada hal yang akan kamu sesali di masa depan jika kamu tetap menjalani hidup seperti sekarang ini?,Is there anything you will regret in the future if you continue to live your life the way it is today?,1,1,,
58,Bagaimana cara terbaik untuk menghiburmu jika kamu sedang merasa sedih?,What's the best way to comfort you when you're feeling down?,1,1,,
59,Apa hal yang paling kekanak-kanakan yang masih sering kamu lakukan?,What's the most childish thing you still often do?,1,1,,
60,"Jika kamu punya anak nanti, apa saran yang akan kamu berikan padanya tentang cinta?","Assume that you want to have kids in the future, what advice would you give them about love?",2,1,,
61,Apa hal yang saat ini paling sering kamu pikirkan?,What is the thing that you think about the most right now?,1,1,,
62,"Menurutmu, apa pengalaman yang harus dialami oleh semua orang setidaknya satu kali?",What kind of experience do you think everyone should go through in their life at least once?,1,1,,
63,"Kalau kamu bisa mengubah satu hal dari seluruh laki-laki di dunia ini, apa yang ingin kamu ubah?","If you could change one thing from men in this world, what would you like to change?",1,1,,
64,Apa hal-hal kecil yang bisa membuat kamu merasa bahagia?,What are the little things that make you feel happy?,1,1,,
65,Apa pendapatmu soal zodiak?,What is your opinion about astrology?,1,1,,
66,Apa persoalan terburuk yang ada di sekitar kita saat ini?,What do you think is the worst problem in society today?,1,1,,
67,"Menurutmu, apakah ada jenis kejahatan yang masih layak dimaafkan dengan alasan tertentu?","In your opinion, is there any kind of crime that could be forgiven for some reason?",1,1,,
68,Siapa selebriti yang mendekati gambaranmu soal pasangan ideal?,Which celebrity has come close to your ideal partner preferences?,1,1,,
69,Seberapa percayakah kamu dengan konsep soulmate?,How much do you believe in the concept of a soulmate?,1,1,,
70,Apakah menurutmu kebahagiaan bisa dibeli dengan uang?,Do you think money can buy happiness?,1,1,,
71,"Menurutmu, apakah kita sesekali boleh berbohong untuk melindungi perasaan orang lain?",Do you think it's okay to lie every now and then to protect the feelings of others?,1,1,,
72,"Jika ada orang yang ingin lebih dekat dengan kamu, apa yang perlu dilakukan oleh orang tersebut?","If there are people who want to be closer to you, what should that person do?",1,1,,
73,"Menurutmu, lebih baik mencintai atau dicintai?",Do you think it's better to love or to be loved?,2,1,,
